record_id,farm_id,animal_id,drug_name,drug_class,dose_mg,treatment_days,days_after_treatment,residue_mg_per_kg,mrl_limit_mg_per_kg,violation_flag,test_date
2716,31,1213,Enrofloxacin,Fluoroquinolone,316,1,10,0.0288,0.002,1,2025-01-23
2717,22,857,Gentamicin,Aminoglycoside,511,3,10,0.0576,0.01,1,2025-12-21
2718,48,1884,Oxytetracycline,Tetracycline,683,2,3,0.229,0.01,1,2025-05-23
2719,49,1923,Sulfonamide,Sulfonamide,621,4,5,0.1703,0.1,1,2025-06-29
2720,6,230,Penicillin,Beta-lactam,436,5,8,0.0347,0.005,1,2025-09-09
2721,7,253,Gentamicin,Aminoglycoside,372,2,1,0.4248,0.01,1,2025-08-06
2722,42,1651,Sulfonamide,Sulfonamide,673,1,2,0.4232,0.1,1,2025-05-19
2723,40,1589,Oxytetracycline,Tetracycline,307,3,4,0.0837,0.01,1,2025-09-25
2724,47,1846,Oxytetracycline,Tetracycline,619,4,4,0.1622,0.01,1,2025-08-15
2725,34,1336,Enrofloxacin,Fluoroquinolone,624,2,4,0.1115,0.002,1,2025-05-26
2726,39,1559,Gentamicin,Aminoglycoside,560,1,5,0.0666,0.01,1,2025-01-05
2727,31,1240,Oxytetracycline,Tetracycline,737,1,6,0.0851,0.01,1,2025-11-23
2728,45,1789,Gentamicin,Aminoglycoside,123,2,9,0.0086,0.01,0,2025-03-10
2729,18,715,Enrofloxacin,Fluoroquinolone,270,1,5,0.0307,0.002,1,2025-03-29
2730,45,1767,Penicillin,Beta-lactam,187,5,1,0.2289,0.005,1,2025-07-02
2731,24,923,Gentamicin,Aminoglycoside,237,1,5,0.0596,0.01,1,2025-02-03
2732,2,41,Oxytetracycline,Tetracycline,606,6,10,0.0811,0.01,1,2025-05-20
2733,6,205,Sulfonamide,Sulfonamide,320,2,5,0.0558,0.1,0,2025-05-03
2734,44,1721,Sulfonamide,Sulfonamide,758,1,1,0.85,0.1,1,2026-01-01
2735,32,1262,Enrofloxacin,Fluoroquinolone,201,6,3,0.0432,0.002,1,2025-05-22
2736,28,1115,Gentamicin,Aminoglycoside,128,5,9,0.0139,0.01,1,2025-07-19
2737,14,524,Sulfonamide,Sulfonamide,516,2,3,0.1165,0.1,1,2025-02-10
2738,26,1016,Enrofloxacin,Fluoroquinolone,247,2,5,0.0254,0.002,1,2025-12-22
2739,34,1323,Penicillin,Beta-lactam,276,4,2,0.0839,0.005,1,2025-11-15
2740,3,106,Oxytetracycline,Tetracycline,297,3,7,0.0435,0.01,1,2025-02-20
2741,36,1409,Gentamicin,Aminoglycoside,320,1,8,0.0205,0.01,1,2025-10-07
2742,21,818,Gentamicin,Aminoglycoside,768,2,1,1.1015,0.01,1,2025-03-19
2743,40,1596,Oxytetracycline,Tetracycline,132,5,6,0.0281,0.01,1,2025-05-02
2744,21,801,Gentamicin,Aminoglycoside,238,1,10,0.0205,0.01,1,2025-07-29
2745,50,1963,Sulfonamide,Sulfonamide,697,1,1,0.5848,0.1,1,2025-09-01
2746,31,1239,Enrofloxacin,Fluoroquinolone,130,1,2,0.0647,0.002,1,2025-03-11
2747,18,684,Sulfonamide,Sulfonamide,112,1,8,0.01,0.1,0,2025-08-25
2748,5,184,Penicillin,Beta-lactam,135,6,8,0.0113,0.005,1,2025-02-17
2749,6,224,Penicillin,Beta-lactam,653,7,7,0.0995,0.005,1,2025-09-18
2750,25,968,Oxytetracycline,Tetracycline,770,4,8,0.0618,0.01,1,2025-03-03
2751,2,52,Enrofloxacin,Fluoroquinolone,423,7,5,0.1052,0.002,1,2025-02-27
2752,26,1016,Oxytetracycline,Tetracycline,683,2,9,0.0992,0.01,1,2025-02-05
2753,25,971,Oxytetracycline,Tetracycline,565,3,5,0.0842,0.01,1,2025-01-28
2754,8,297,Penicillin,Beta-lactam,408,3,3,0.093,0.005,1,2025-03-15
2755,5,191,Gentamicin,Aminoglycoside,115,2,6,0.0131,0.01,1,2025-10-28
2756,14,553,Oxytetracycline,Tetracycline,245,6,1,0.2654,0.01,1,2025-06-06
2757,38,1520,Gentamicin,Aminoglycoside,585,2,7,0.0934,0.01,1,2025-04-17
2758,35,1382,Penicillin,Beta-lactam,530,6,6,0.0721,0.005,1,2025-04-26
2759,48,1891,Penicillin,Beta-lactam,581,4,2,0.3345,0.005,1,2025-11-05
2760,42,1676,Enrofloxacin,Fluoroquinolone,670,1,3,0.172,0.002,1,2025-06-26
2761,43,1695,Enrofloxacin,Fluoroquinolone,698,5,6,0.0712,0.002,1,2025-01-19
2762,7,270,Oxytetracycline,Tetracycline,208,5,2,0.0852,0.01,1,2025-10-02
2763,30,1191,Oxytetracycline,Tetracycline,274,7,7,0.0407,0.01,1,2025-07-27
2764,39,1552,Enrofloxacin,Fluoroquinolone,721,7,9,0.1109,0.002,1,2025-05-11
2765,25,981,Sulfonamide,Sulfonamide,538,7,9,0.0702,0.1,0,2025-03-06
2766,11,439,Gentamicin,Aminoglycoside,488,1,1,0.4881,0.01,1,2025-05-18
2767,16,639,Gentamicin,Aminoglycoside,365,1,9,0.0507,0.01,1,2025-08-13
2768,43,1682,Sulfonamide,Sulfonamide,190,5,2,0.1018,0.1,1,2025-09-09
2769,15,598,Sulfonamide,Sulfonamide,680,2,2,0.3186,0.1,1,2025-01-23
2770,3,104,Gentamicin,Aminoglycoside,684,6,9,0.1089,0.01,1,2025-04-14
2771,21,805,Sulfonamide,Sulfonamide,740,2,4,0.2378,0.1,1,2025-04-28
2772,15,571,Sulfonamide,Sulfonamide,375,5,7,0.0413,0.1,0,2025-01-21
2773,26,1033,Penicillin,Beta-lactam,220,2,10,0.0322,0.005,1,2025-07-30
2774,17,653,Enrofloxacin,Fluoroquinolone,542,2,3,0.2194,0.002,1,2025-01-05
2775,9,345,Oxytetracycline,Tetracycline,270,2,8,0.04,0.01,1,2025-03-17
2776,45,1775,Oxytetracycline,Tetracycline,467,3,1,0.6438,0.01,1,2025-04-22
2777,1,5,Oxytetracycline,Tetracycline,121,1,9,0.0137,0.01,1,2025-05-08
2778,41,1625,Enrofloxacin,Fluoroquinolone,512,4,4,0.14,0.002,1,2025-11-10
2779,1,10,Oxytetracycline,Tetracycline,628,5,10,0.0796,0.01,1,2025-10-18
2780,5,185,Oxytetracycline,Tetracycline,358,1,7,0.0664,0.01,1,2025-01-12
2781,30,1188,Oxytetracycline,Tetracycline,493,5,3,0.217,0.01,1,2025-03-13
2782,36,1404,Gentamicin,Aminoglycoside,306,4,10,0.0359,0.01,1,2025-10-23
2783,38,1489,Gentamicin,Aminoglycoside,732,1,7,0.0532,0.01,1,2025-06-22
2784,16,615,Sulfonamide,Sulfonamide,184,7,9,0.0189,0.1,0,2025-05-13
2785,20,796,Penicillin,Beta-lactam,141,1,1,0.2004,0.005,1,2025-10-29
2786,27,1055,Enrofloxacin,Fluoroquinolone,800,2,4,0.1869,0.002,1,2025-02-19
2787,38,1481,Penicillin,Beta-lactam,556,1,2,0.2845,0.005,1,2025-02-13
2788,17,652,Oxytetracycline,Tetracycline,778,5,9,0.099,0.01,1,2025-12-22
2789,14,531,Enrofloxacin,Fluoroquinolone,613,2,10,0.0897,0.002,1,2025-06-08
2790,8,308,Oxytetracycline,Tetracycline,293,6,5,0.0765,0.01,1,2025-12-07
2791,1,25,Oxytetracycline,Tetracycline,471,2,6,0.0991,0.01,1,2025-05-23
2792,22,846,Gentamicin,Aminoglycoside,130,4,6,0.019,0.01,1,2025-10-22
2793,32,1244,Sulfonamide,Sulfonamide,356,3,10,0.0495,0.1,0,2025-05-20
2794,45,1768,Gentamicin,Aminoglycoside,542,4,3,0.2197,0.01,1,2025-02-18
2795,3,120,Sulfonamide,Sulfonamide,241,3,1,0.3157,0.1,1,2025-12-28
2796,40,1577,Sulfonamide,Sulfonamide,193,6,9,0.014,0.1,0,2025-03-12
2797,34,1337,Penicillin,Beta-lactam,625,4,10,0.0889,0.005,1,2025-05-28
2798,50,1983,Oxytetracycline,Tetracycline,252,4,3,0.0448,0.01,1,2025-06-27
2799,26,1026,Oxytetracycline,Tetracycline,608,3,6,0.1424,0.01,1,2025-08-28
2800,12,466,Enrofloxacin,Fluoroquinolone,752,2,7,0.0872,0.002,1,2025-04-24
2801,18,706,Gentamicin,Aminoglycoside,117,1,5,0.0137,0.01,1,2025-11-14
2802,5,194,Sulfonamide,Sulfonamide,242,5,6,0.0245,0.1,0,2025-03-01
2803,36,1407,Gentamicin,Aminoglycoside,171,6,3,0.0733,0.01,1,2025-06-17
2804,18,709,Sulfonamide,Sulfonamide,118,3,7,0.0104,0.1,0,2025-01-17
2805,4,125,Gentamicin,Aminoglycoside,716,2,4,0.0994,0.01,1,2025-08-07
2806,21,837,Oxytetracycline,Tetracycline,155,1,3,0.0548,0.01,1,2025-09-25
2807,8,294,Gentamicin,Aminoglycoside,188,1,2,0.115,0.01,1,2025-03-31
2808,11,411,Penicillin,Beta-lactam,681,6,7,0.0553,0.005,1,2025-02-15
2809,7,257,Oxytetracycline,Tetracycline,770,3,9,0.104,0.01,1,2025-01-06
2810,26,1020,Gentamicin,Aminoglycoside,545,7,6,0.0658,0.01,1,2025-05-13
2811,16,640,Gentamicin,Aminoglycoside,147,3,3,0.0683,0.01,1,2025-08-14
2812,22,859,Penicillin,Beta-lactam,749,3,7,0.1418,0.005,1,2025-01-13
2813,6,220,Sulfonamide,Sulfonamide,190,3,4,0.0241,0.1,0,2025-09-13
2814,37,1473,Penicillin,Beta-lactam,416,4,3,0.1053,0.005,1,2025-06-29
2815,29,1144,Gentamicin,Aminoglycoside,185,4,7,0.0273,0.01,1,2025-03-25
2816,49,1926,Enrofloxacin,Fluoroquinolone,203,6,3,0.0897,0.002,1,2025-12-09
2817,49,1952,Penicillin,Beta-lactam,503,4,1,0.5077,0.005,1,2025-08-03
2818,37,1441,Gentamicin,Aminoglycoside,459,6,7,0.0953,0.01,1,2025-03-08
2819,15,566,Oxytetracycline,Tetracycline,736,4,7,0.1422,0.01,1,2025-08-15
2820,27,1046,Enrofloxacin,Fluoroquinolone,738,3,8,0.0892,0.002,1,2025-02-11
2821,34,1357,Penicillin,Beta-lactam,692,1,4,0.1491,0.005,1,2025-01-19
2822,22,846,Oxytetracycline,Tetracycline,622,3,9,0.0736,0.01,1,2025-06-04
2823,50,1994,Penicillin,Beta-lactam,228,2,6,0.0518,0.005,1,2025-04-18
2824,16,630,Oxytetracycline,Tetracycline,414,6,7,0.0815,0.01,1,2025-07-13
2825,29,1122,Penicillin,Beta-lactam,213,2,2,0.0891,0.005,1,2025-11-23
2826,23,887,Enrofloxacin,Fluoroquinolone,719,6,6,0.0795,0.002,1,2025-05-12
2827,30,1178,Penicillin,Beta-lactam,117,4,5,0.0304,0.005,1,2025-11-26
2828,42,1677,Oxytetracycline,Tetracycline,226,1,10,0.0224,0.01,1,2025-04-11
2829,28,1120,Sulfonamide,Sulfonamide,182,5,3,0.0585,0.1,0,2025-01-02
2830,44,1756,Gentamicin,Aminoglycoside,339,3,4,0.071,0.01,1,2025-10-28
2831,41,1616,Enrofloxacin,Fluoroquinolone,612,7,9,0.0888,0.002,1,2025-02-03
2832,28,1082,Sulfonamide,Sulfonamide,383,5,7,0.0567,0.1,0,2025-07-27
2833,21,830,Enrofloxacin,Fluoroquinolone,118,3,2,0.0777,0.002,1,2025-01-23
2834,10,373,Oxytetracycline,Tetracycline,264,7,6,0.0357,0.01,1,2025-12-03
2835,39,1536,Enrofloxacin,Fluoroquinolone,184,7,3,0.0458,0.002,1,2025-01-16
2836,7,243,Gentamicin,Aminoglycoside,152,3,10,0.0189,0.01,1,2025-09-28
2837,22,869,Oxytetracycline,Tetracycline,345,4,3,0.0691,0.01,1,2025-11-25
2838,45,1787,Sulfonamide,Sulfonamide,494,1,1,0.3471,0.1,1,2025-02-01
2839,36,1432,Penicillin,Beta-lactam,207,5,8,0.0272,0.005,1,2025-10-31
2840,32,1276,Sulfonamide,Sulfonamide,150,1,2,0.0981,0.1,0,2025-01-17
2841,49,1922,Oxytetracycline,Tetracycline,314,3,8,0.0515,0.01,1,2025-05-04
2842,6,220,Gentamicin,Aminoglycoside,201,5,8,0.0317,0.01,1,2025-10-12
2843,22,850,Oxytetracycline,Tetracycline,207,6,7,0.0409,0.01,1,2025-03-21
2844,39,1558,Enrofloxacin,Fluoroquinolone,800,6,10,0.1182,0.002,1,2025-01-27
2845,37,1479,Sulfonamide,Sulfonamide,364,1,10,0.0418,0.1,0,2025-11-22
2846,24,956,Sulfonamide,Sulfonamide,436,7,6,0.1033,0.1,1,2025-11-18
2847,7,247,Oxytetracycline,Tetracycline,310,4,6,0.0374,0.01,1,2025-09-29
2848,9,340,Oxytetracycline,Tetracycline,123,4,3,0.0434,0.01,1,2025-12-13
2849,45,1777,Gentamicin,Aminoglycoside,635,6,1,0.617,0.01,1,2025-08-28
2850,31,1227,Oxytetracycline,Tetracycline,332,4,2,0.24,0.01,1,2025-02-24
2851,22,874,Oxytetracycline,Tetracycline,665,6,9,0.0452,0.01,1,2025-11-12
2852,25,963,Penicillin,Beta-lactam,232,2,10,0.032,0.005,1,2025-10-29
2853,33,1298,Gentamicin,Aminoglycoside,357,4,8,0.0569,0.01,1,2025-10-02
2854,11,406,Gentamicin,Aminoglycoside,446,7,4,0.0602,0.01,1,2025-08-03
2855,29,1147,Oxytetracycline,Tetracycline,107,2,5,0.0224,0.01,1,2025-12-11
2856,38,1481,Sulfonamide,Sulfonamide,475,7,6,0.0764,0.1,0,2025-09-14
2857,2,65,Oxytetracycline,Tetracycline,273,6,5,0.0638,0.01,1,2025-05-31
2858,10,398,Penicillin,Beta-lactam,318,4,3,0.0702,0.005,1,2025-03-04
2859,21,801,Sulfonamide,Sulfonamide,138,7,7,0.0217,0.1,0,2025-07-15
2860,29,1130,Enrofloxacin,Fluoroquinolone,566,3,7,0.0943,0.002,1,2025-01-11
2861,20,797,Gentamicin,Aminoglycoside,798,6,6,0.0753,0.01,1,2025-11-14
2862,36,1414,Oxytetracycline,Tetracycline,351,5,6,0.07,0.01,1,2025-03-14
2863,5,184,Enrofloxacin,Fluoroquinolone,156,6,2,0.1044,0.002,1,2025-06-02
2864,43,1687,Penicillin,Beta-lactam,497,1,1,0.4872,0.005,1,2025-01-05
2865,12,446,Penicillin,Beta-lactam,472,1,9,0.0664,0.005,1,2025-03-22
2866,15,578,Penicillin,Beta-lactam,215,5,9,0.0326,0.005,1,2025-10-23
2867,8,281,Enrofloxacin,Fluoroquinolone,654,7,5,0.1312,0.002,1,2025-04-23
2868,2,49,Oxytetracycline,Tetracycline,408,1,7,0.0642,0.01,1,2025-02-08
2869,42,1668,Oxytetracycline,Tetracycline,423,7,4,0.0578,0.01,1,2025-02-21
2870,19,755,Oxytetracycline,Tetracycline,486,4,6,0.1024,0.01,1,2026-01-01
2871,29,1127,Gentamicin,Aminoglycoside,397,4,4,0.0726,0.01,1,2025-11-11
2872,45,1767,Enrofloxacin,Fluoroquinolone,338,3,9,0.0222,0.002,1,2025-01-02
2873,17,668,Oxytetracycline,Tetracycline,221,7,5,0.0624,0.01,1,2025-08-04
2874,14,532,Penicillin,Beta-lactam,602,5,10,0.0775,0.005,1,2025-03-04
2875,17,656,Gentamicin,Aminoglycoside,352,5,6,0.0482,0.01,1,2025-02-26
2876,8,281,Sulfonamide,Sulfonamide,178,4,8,0.0185,0.1,0,2025-02-20
2877,7,275,Penicillin,Beta-lactam,706,3,10,0.0704,0.005,1,2025-02-20
2878,18,700,Enrofloxacin,Fluoroquinolone,365,2,7,0.0706,0.002,1,2025-11-24
2879,3,94,Sulfonamide,Sulfonamide,572,2,4,0.1765,0.1,1,2025-01-10
2880,8,315,Enrofloxacin,Fluoroquinolone,399,4,6,0.0846,0.002,1,2025-08-05
2881,40,1584,Gentamicin,Aminoglycoside,579,2,1,0.4968,0.01,1,2025-08-15
2882,6,209,Oxytetracycline,Tetracycline,571,2,1,0.7577,0.01,1,2025-08-26
2883,7,251,Enrofloxacin,Fluoroquinolone,493,7,5,0.1237,0.002,1,2025-09-04
2884,28,1089,Penicillin,Beta-lactam,592,6,1,0.4242,0.005,1,2025-09-07
2885,17,652,Enrofloxacin,Fluoroquinolone,333,5,1,0.425,0.002,1,2025-08-15
2886,16,608,Oxytetracycline,Tetracycline,408,5,6,0.082,0.01,1,2025-12-10
2887,10,371,Gentamicin,Aminoglycoside,151,2,10,0.0102,0.01,1,2025-05-13
2888,40,1579,Gentamicin,Aminoglycoside,640,4,3,0.2973,0.01,1,2025-04-06
2889,29,1137,Sulfonamide,Sulfonamide,407,1,8,0.0466,0.1,0,2025-05-09
2890,7,279,Oxytetracycline,Tetracycline,556,6,7,0.094,0.01,1,2025-03-15
2891,25,980,Oxytetracycline,Tetracycline,311,3,4,0.0954,0.01,1,2025-07-25
2892,25,975,Gentamicin,Aminoglycoside,241,3,10,0.0151,0.01,1,2025-09-28
2893,23,884,Sulfonamide,Sulfonamide,586,5,1,0.5312,0.1,1,2025-12-10
2894,36,1422,Oxytetracycline,Tetracycline,369,5,9,0.0612,0.01,1,2025-10-30
2895,35,1392,Penicillin,Beta-lactam,280,1,6,0.0597,0.005,1,2025-05-01
2896,14,532,Oxytetracycline,Tetracycline,455,7,1,0.5402,0.01,1,2025-11-06
2897,40,1582,Penicillin,Beta-lactam,585,2,10,0.0537,0.005,1,2025-02-12
2898,49,1960,Enrofloxacin,Fluoroquinolone,710,7,8,0.0825,0.002,1,2025-05-12
2899,40,1591,Oxytetracycline,Tetracycline,421,2,6,0.064,0.01,1,2025-01-30
2900,38,1509,Gentamicin,Aminoglycoside,612,5,8,0.0765,0.01,1,2025-06-23
2901,18,706,Enrofloxacin,Fluoroquinolone,262,4,2,0.1424,0.002,1,2025-01-15
2902,13,495,Sulfonamide,Sulfonamide,365,2,3,0.1189,0.1,1,2025-07-26
2903,39,1536,Penicillin,Beta-lactam,566,6,4,0.0963,0.005,1,2025-12-28
2904,10,361,Penicillin,Beta-lactam,758,2,8,0.0572,0.005,1,2025-02-08
2905,43,1712,Gentamicin,Aminoglycoside,479,6,8,0.0554,0.01,1,2025-03-03
2906,50,1984,Gentamicin,Aminoglycoside,209,4,3,0.0388,0.01,1,2025-05-31
2907,9,323,Sulfonamide,Sulfonamide,656,3,2,0.2588,0.1,1,2025-10-10
2908,21,828,Sulfonamide,Sulfonamide,666,2,1,0.5826,0.1,1,2025-02-23
2909,43,1712,Gentamicin,Aminoglycoside,692,1,4,0.1876,0.01,1,2025-04-02
2910,10,384,Oxytetracycline,Tetracycline,284,6,7,0.0607,0.01,1,2025-10-19
2911,41,1628,Sulfonamide,Sulfonamide,114,1,5,0.0156,0.1,0,2025-07-23
2912,14,551,Gentamicin,Aminoglycoside,179,1,7,0.0268,0.01,1,2025-02-06
2913,24,923,Gentamicin,Aminoglycoside,119,2,2,0.0536,0.01,1,2025-04-10
2914,23,913,Oxytetracycline,Tetracycline,450,6,1,0.6486,0.01,1,2025-05-30
2915,30,1195,Penicillin,Beta-lactam,313,2,7,0.0597,0.005,1,2025-04-04
2916,13,520,Enrofloxacin,Fluoroquinolone,485,5,4,0.164,0.002,1,2025-08-14
2917,9,328,Sulfonamide,Sulfonamide,385,7,8,0.0449,0.1,0,2025-05-04
2918,47,1876,Sulfonamide,Sulfonamide,105,5,4,0.0383,0.1,0,2025-01-17
2919,38,1519,Gentamicin,Aminoglycoside,432,3,1,0.2835,0.01,1,2025-06-29
2920,32,1262,Sulfonamide,Sulfonamide,663,3,2,0.3974,0.1,1,2025-04-23
2921,38,1512,Sulfonamide,Sulfonamide,330,2,8,0.0495,0.1,0,2025-09-10
2922,10,370,Sulfonamide,Sulfonamide,189,2,10,0.0117,0.1,0,2025-07-18
2923,12,456,Enrofloxacin,Fluoroquinolone,767,1,5,0.2263,0.002,1,2025-10-16
2924,42,1674,Gentamicin,Aminoglycoside,160,2,7,0.0279,0.01,1,2025-08-20
2925,21,810,Enrofloxacin,Fluoroquinolone,275,4,3,0.0965,0.002,1,2025-06-05
2926,19,729,Penicillin,Beta-lactam,702,4,5,0.1577,0.005,1,2025-11-17
2927,31,1201,Enrofloxacin,Fluoroquinolone,123,4,1,0.1237,0.002,1,2025-10-07
2928,23,891,Enrofloxacin,Fluoroquinolone,102,4,8,0.019,0.002,1,2025-07-31
2929,44,1734,Oxytetracycline,Tetracycline,273,1,9,0.0155,0.01,1,2025-02-22
2930,29,1158,Penicillin,Beta-lactam,709,1,3,0.1622,0.005,1,2025-02-09
2931,47,1852,Enrofloxacin,Fluoroquinolone,406,7,4,0.1136,0.002,1,2025-05-24
2932,14,531,Sulfonamide,Sulfonamide,686,1,10,0.0497,0.1,0,2025-03-22
2933,18,714,Penicillin,Beta-lactam,353,2,3,0.0596,0.005,1,2025-03-27
2934,13,502,Enrofloxacin,Fluoroquinolone,168,1,3,0.0733,0.002,1,2025-11-30
2935,42,1650,Enrofloxacin,Fluoroquinolone,452,7,1,0.2773,0.002,1,2025-04-26
2936,18,692,Enrofloxacin,Fluoroquinolone,436,7,1,0.3166,0.002,1,2025-07-27
2937,30,1190,Sulfonamide,Sulfonamide,667,7,9,0.0582,0.1,0,2025-04-17
2938,32,1278,Penicillin,Beta-lactam,351,2,3,0.093,0.005,1,2025-05-07
2939,21,808,Penicillin,Beta-lactam,706,4,3,0.1194,0.005,1,2025-10-03
2940,2,55,Enrofloxacin,Fluoroquinolone,677,6,9,0.1128,0.002,1,2025-04-29
2941,7,251,Penicillin,Beta-lactam,375,7,5,0.0443,0.005,1,2025-10-24
2942,3,118,Gentamicin,Aminoglycoside,441,7,10,0.0394,0.01,1,2025-11-10
2943,31,1232,Sulfonamide,Sulfonamide,237,1,2,0.0762,0.1,0,2025-09-12
2944,21,823,Penicillin,Beta-lactam,177,4,8,0.0179,0.005,1,2025-07-10
2945,15,570,Penicillin,Beta-lactam,167,1,7,0.0163,0.005,1,2025-05-18
2946,33,1313,Oxytetracycline,Tetracycline,679,2,8,0.0715,0.01,1,2025-02-20
2947,31,1201,Penicillin,Beta-lactam,285,4,8,0.0205,0.005,1,2025-04-28
2948,6,205,Gentamicin,Aminoglycoside,481,2,7,0.0432,0.01,1,2025-08-05
2949,44,1751,Enrofloxacin,Fluoroquinolone,584,3,3,0.2273,0.002,1,2025-09-18
2950,33,1290,Gentamicin,Aminoglycoside,357,4,2,0.2494,0.01,1,2025-03-14
2951,36,1437,Oxytetracycline,Tetracycline,735,4,2,0.3486,0.01,1,2025-04-28
2952,2,55,Oxytetracycline,Tetracycline,684,5,3,0.2644,0.01,1,2025-09-30
2953,47,1849,Enrofloxacin,Fluoroquinolone,422,7,3,0.1084,0.002,1,2025-04-08
2954,9,341,Oxytetracycline,Tetracycline,164,3,4,0.0558,0.01,1,2025-07-01
2955,1,21,Enrofloxacin,Fluoroquinolone,196,3,4,0.0598,0.002,1,2025-03-13
2956,6,206,Sulfonamide,Sulfonamide,755,1,5,0.1114,0.1,1,2025-01-26
2957,27,1060,Gentamicin,Aminoglycoside,596,5,8,0.0848,0.01,1,2025-05-14
2958,24,955,Sulfonamide,Sulfonamide,229,3,5,0.0623,0.1,0,2025-03-20
2959,50,1989,Oxytetracycline,Tetracycline,613,5,4,0.1852,0.01,1,2025-05-11
2960,33,1287,Enrofloxacin,Fluoroquinolone,652,7,2,0.3556,0.002,1,2025-01-04
2961,16,620,Sulfonamide,Sulfonamide,594,4,1,0.5533,0.1,1,2025-11-21
2962,20,783,Sulfonamide,Sulfonamide,303,2,4,0.0953,0.1,0,2025-10-29
2963,31,1208,Sulfonamide,Sulfonamide,540,3,2,0.2317,0.1,1,2025-11-13
2964,49,1931,Oxytetracycline,Tetracycline,269,3,8,0.0409,0.01,1,2025-12-07
2965,15,594,Gentamicin,Aminoglycoside,381,1,9,0.0353,0.01,1,2025-09-15
2966,41,1609,Enrofloxacin,Fluoroquinolone,639,5,4,0.2124,0.002,1,2025-10-05
2967,9,352,Enrofloxacin,Fluoroquinolone,547,6,8,0.0434,0.002,1,2025-03-30
2968,1,37,Sulfonamide,Sulfonamide,372,4,8,0.0291,0.1,0,2025-10-27
2969,40,1596,Penicillin,Beta-lactam,471,3,4,0.1604,0.005,1,2025-11-23
2970,45,1792,Enrofloxacin,Fluoroquinolone,482,1,10,0.043,0.002,1,2025-10-12
2971,9,326,Penicillin,Beta-lactam,287,7,6,0.0243,0.005,1,2025-02-24
2972,28,1093,Penicillin,Beta-lactam,461,6,7,0.044,0.005,1,2025-06-03
2973,23,916,Penicillin,Beta-lactam,665,4,4,0.181,0.005,1,2025-05-09
2974,46,1804,Penicillin,Beta-lactam,761,1,2,0.5141,0.005,1,2025-03-28
2975,41,1624,Penicillin,Beta-lactam,351,3,2,0.1382,0.005,1,2025-10-21
2976,9,359,Sulfonamide,Sulfonamide,111,7,1,0.1227,0.1,1,2025-12-02
2977,22,856,Gentamicin,Aminoglycoside,274,7,8,0.0185,0.01,1,2025-07-29
2978,21,817,Oxytetracycline,Tetracycline,368,7,6,0.0815,0.01,1,2025-01-27
2979,50,1972,Sulfonamide,Sulfonamide,469,4,4,0.0803,0.1,0,2025-09-02
2980,43,1713,Enrofloxacin,Fluoroquinolone,762,1,1,0.9275,0.002,1,2025-11-11
2981,4,154,Oxytetracycline,Tetracycline,186,5,4,0.0347,0.01,1,2025-04-13
2982,28,1104,Sulfonamide,Sulfonamide,281,2,3,0.0747,0.1,0,2025-08-26
2983,5,192,Oxytetracycline,Tetracycline,706,2,7,0.1364,0.01,1,2025-12-22
2984,3,96,Gentamicin,Aminoglycoside,121,5,3,0.0388,0.01,1,2025-12-04
2985,2,77,Enrofloxacin,Fluoroquinolone,509,3,7,0.0444,0.002,1,2025-12-17
2986,39,1533,Gentamicin,Aminoglycoside,156,4,7,0.0305,0.01,1,2025-07-20
2987,15,577,Penicillin,Beta-lactam,638,6,6,0.0543,0.005,1,2025-10-21
2988,17,667,Penicillin,Beta-lactam,574,2,4,0.1107,0.005,1,2025-02-16
2989,23,911,Gentamicin,Aminoglycoside,774,2,4,0.227,0.01,1,2025-04-16
2990,45,1777,Penicillin,Beta-lactam,520,1,1,0.5943,0.005,1,2025-11-13
2991,14,531,Enrofloxacin,Fluoroquinolone,195,4,5,0.0249,0.002,1,2025-04-13
2992,37,1466,Oxytetracycline,Tetracycline,498,3,5,0.1394,0.01,1,2025-05-28
2993,6,239,Penicillin,Beta-lactam,570,2,8,0.0691,0.005,1,2025-07-18
2994,27,1072,Enrofloxacin,Fluoroquinolone,588,4,1,0.5421,0.002,1,2025-12-21
2995,11,427,Enrofloxacin,Fluoroquinolone,718,3,3,0.2689,0.002,1,2025-01-24
2996,42,1677,Enrofloxacin,Fluoroquinolone,538,7,2,0.2618,0.002,1,2025-06-24
2997,6,205,Sulfonamide,Sulfonamide,663,4,1,0.9932,0.1,1,2025-09-11
2998,32,1270,Sulfonamide,Sulfonamide,678,2,3,0.1808,0.1,1,2025-04-04
2999,3,85,Penicillin,Beta-lactam,393,5,4,0.0929,0.005,1,2025-05-17
3000,40,1581,Enrofloxacin,Fluoroquinolone,179,7,8,0.015,0.002,1,2025-05-18
3001,18,708,Gentamicin,Aminoglycoside,443,7,4,0.1109,0.01,1,2025-07-19
3002,30,1173,Enrofloxacin,Fluoroquinolone,559,5,1,0.372,0.002,1,2025-05-31
3003,40,1583,Sulfonamide,Sulfonamide,478,6,4,0.105,0.1,1,2025-03-12
3004,22,857,Sulfonamide,Sulfonamide,681,1,5,0.1618,0.1,1,2025-03-30
3005,11,406,Sulfonamide,Sulfonamide,544,6,5,0.0613,0.1,0,2025-01-07
3006,50,1961,Oxytetracycline,Tetracycline,709,3,4,0.1774,0.01,1,2025-06-22
3007,33,1282,Enrofloxacin,Fluoroquinolone,593,6,5,0.08,0.002,1,2025-07-20
